# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5794379,K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,36.065881630,8.3050000e-05,-8.3050000e-05,198.5842300,1.720000e-03,-1.720000e-03,0.2600,0.1450,-0.2600,4.32460,0.06340,-0.06340,1.5638e+03,3.210e+01,-3.210e+01,2.64,1.900e-01,-2.600e-01,397.0,,,5.88,1.64,-1.64,51.70,2,q1_q17_dr25_tce,4702.00,128.00,-142.00,4.592,0.058,-0.027,0.6860,0.0490,-0.0670,292.913120,41.060921,15.389
5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.190425659,1.6110000e-06,-1.6110000e-06,171.4412200,3.060000e-04,-3.060000e-04,0.4580,0.0040,-0.3770,2.85890,0.02240,-0.02240,2.8774e+03,1.410e+01,-1.410e+01,6.21,2.050e+00,-8.200e-01,1234.0,,,547.90,549.04,-194.78,240.60,1,q1_q17_dr25_tce,6073.00,190.00,-232.00,4.392,0.072,-0.217,1.1350,0.3750,-0.1500,293.496610,41.137589,15.270
6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.709870784,3.0430000e-06,-3.0430000e-06,171.9879820,6.380000e-04,-6.380000e-04,0.0230,0.3230,-0.0230,3.06940,0.02650,-0.02650,2.0203e+03,2.010e+01,-2.010e+01,4.35,6.400e-01,-2.800e-01,1151.0,,,415.10,163.27,-72.10,116.10,1,q1_q17_dr25_tce,5727.00,77.00,-85.00,4.463,0.040,-0.120,0.9780,0.1460,-0.0620,283.864410,41.346458,15.581
6032497,K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.329752700,3.6110000e-05,-3.6110000e-05,177.2950600,1.810000e-03,-1.810000e-03,0.7910,0.0910,-0.5410,6.27100,0.11200,-0.11200,1.1875e+03,1.810e+01,-1.810e+01,3.75,1.110e+00,-4.700e-01,727.0,,,66.08,57.11,-21.98,74.60,1,q1_q17_dr25_tce,5878.00,158.00,-193.00,4.444,0.084,-0.196,0.9870,0.2910,-0.1250,288.510010,41.301769,15.447
6061119,K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,0.9850,0,0,0,0,27.807566216,4.7470000e-06,-4.7470000e-06,186.7135520,1.340000e-04,-1.340000e-04,0.7820,0.0020,-0.0030,4.21587,0.00935,-0.00935,2.5391e+04,4.730e+01,-4.730e+01,13.84,3.630e+00,-1.210e+00,554.0,,,22.24,17.69,-5.87,748.10,1,q1_q17_dr25_tce,5862.00,177.00,-177.00,4.584,0.044,-0.176,0.7850,0.2060,-0.0690,296.888210,41.396091,15.482
6191521,K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,0.9420,0,0,0,0,80.872346900,1.4680000e-04,-1.4680000e-04,203.8950000,1.310000e-03,-1.310000e-03,0.5270,0.0800,-0.3090,11.19500,0.13000,-0.13000,3.6046e+03,2.590e+01,-2.590e+01,7.59,1.240e+00,-1.520e+00,452.0,,,9.88,4.30,-3.87,160.90,1,q1_q17_dr25_tce,5510.00,82.00,-71.00,4.222,0.195,-0.105,1.2380,0.2020,-0.2470,287.154300,41.565788,15.201
6267425,K00848.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,3.166465862,2.2220000e-06,-2.2220000e-06,172.0026270,5.860000e-04,-5.860000e-04,1.2660,6.9240,-0.1020,2.93810,0.03270,-0.03270,4.3572e+03,4.440e+01,-4.440e+01,26.82,2.480e+00,-2.740e+00,954.0,,,196.31,67.72,-54.73,122.10,1,q1_q17_dr25_tce,4968.00,151.00,-136.00,4.575,0.072,-0.044,0.7040,0.0650,-0.0720,284.869290,41.679192,15.999
3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.9120,0,0,0,0,24.993243190,6.1270000e-05,-6.1270000e-05,138.6816700,1.970000e-03,-1.970000e-03,0.6860,0.0150,-0.5050,5.94090,0.06690,-0.06690,2.6960e+02,4.900e+00,-4.900e+00,2.29,1.200e-01,-8.000e-02,712.0,,,60.88,10.13,-7.34,62.00,1,q1_q17_dr25_tce,5718.00,85.00,-77.00,4.181,0.018,-0.016,1.3170,0.0640,-0.0480,287.362790,38.649601,12.377
6276477,K00849.01,Kepler-701 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.355331160,2.0870000e-05,-2.0870000e-05,170.9372900,1.600000e-03,-1.600000e-03,0.0290,0.4290,-0.0290,3.17750,0.06020,-0.06020,7.5060e+02,1.740e+01,-1.740e+01,2.47,5.900e-01,-3.100e-01,777.0,,,86.22,62.02,-27.32,49.20,1,q1_q17_dr25_tce,5501.00,164.00,-147.00,4.462,0.084,-0.168,0.9180,0.2170,-0.1170,288.994200,41.633282,15.018
6863998,K00867.01,Kepler-709 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.085189370,3.0220000e-05,-3.0220000e-05,180.2831900,1.450000e-03,-1.450000e-03,0.8670,0.0110,-0.6130,3.98400,0.08750,-0.08750,1.4424e+03,2.670e+01,-2.670e+01,3.68,5.400e-01,-3.600e-01,613.0,,,33.43,16.76,-9.37,62.60,1,q1_q17_dr25_tce,5239.00,174.00,-158.00,4.523,0.060,-0.090,0.8260,0.1220,-0.0810,292.105190,42.380322,15.219
6867155,K00868.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,235.998639900,2.7730000e-04,-2.7730000e-04,208.3998220,8.980000e-04,-8.980000e-04,0.7780,0.0060,-0.0080,8.22840,0.06060,-0.06060,2.0715e+04,9.170e+01,-9.170e+01,10.59,3.500e-01,-5.200e-01,188.0,,,0.29,0.05,-0.04,271.80,1,q1_q17_dr25_tce,4245.00,85.00,-85.00,4.627,0.030,-0.018,0.6570,0.0220,-0.0320,293.007970,42.307201,15.172
6948054,K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.490183050,1.1810000e-05,-1.1810000e-05,174.9503700,1.240000e-03,-1.240000e-03,0.0200,0.4040,-0.0200,2.72970,0.04240,-0.04240,1.1236e+03,2.270e+01,-2.270e+01,2.56,1.700e-01,-1.200e-01,753.0,,,76.06,17.21,-12.63,53.00,1,q1_q17_dr25_tce,5103.00,101.00,-101.00,4.562,0.032,-0.052,0.7870,0.0510,-0.0390,291.638980,42.436321,15.599
6948054,K00869.02,Kepler-245 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,36.276123800,1.0550000e-04,-1.0550000e-04,201.2869000,2.220000e-03,-2.220000e-03,0.0350,0.3790,-0.0350,4.78650,0.07560,-0.07560,1.5726e+03,3.550e+01,-3.550e+01,3.03,2.000e-01,-1.500e-01,445.0,,,9.29,2.10,-1.55,45.50,2,q1_q17_dr25_tce,5103.00,101.00,-101.00,4.562,0.032,-0.052,0.7870,0.0510,-0.0390,291.638980,42.436321,15.599
6948054,K00869.03,Kepler-245 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,17.460879310,5.2780000e-05,-5.2780000e-05,137.2659400,2.420000e-03,-2.420000e-03,0.5940,0.3260,-0.3770,2.26410,0.07210,-0.07210,8.1240e+02,3.830e+01,-3.830e+01,2.32,1.500e-01,-1.200e-01,568.0,,,24.60,5.57,-4.08,22.60,4,q1_q17_dr25_tce,5103.00,101.00,-101.00,4.562,0.032,-0.052,0.7870,0.0510,-0.0390,291.638980,42.436321,15.599
6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,56.056075400,2.7530000e-04,-2.7530000e-04,201.1657800,3.290000e-03,-3.290000e-03,0.0180,0.4130,-0.0180,4.68500,0.13200,-0.13200,1.6260e+03,6.670e+01,-6.670e+01,1.94,1.200e-01,-2.200e-01,233.0,,,0.69,0.15,-0.19,27.40,1,q1_q17_dr25_tce,3593.00,71.00,-86.00,4.757,0.054,-0.027,0.4910,0.0300,-0.0550,289.508480,41.812119,15.849
6522242,K00855.01,Kepler-706 b,CONFIRMED,CANDIDATE,0.9740,0,0,0,0,41.408316686,6.5800000e-06,-6.5800000e-06,195.7874500,1.230000e-04,-1.230000e-04,0.3770,0.0160,-0.0290,5.02640,0.01360,-0.01360,2.2839e+04,3.140e+01,-3.140e+01,11.38,2.070e+00,-1.040e+00,453.0,,,9.93,5.69,-2.57,907.80,1,q1_q17_dr25_tce,5522.00,165.00,-148.00,4.586,0.048,-0.112,0.7470,0.1360,-0.0680,291.760410,41.944069,15.196
6526710,K00856.01,,CANDIDATE,CANDIDATE,0.9940,0,0,0,0,39.748930770,1.5540000e-05,-1.5540000e-05,172.8546440,3.010000e-04,-3.010000e-04,0.8810,0.0030,-0.0030,7.30510,0.02130,-0.02130,1.5179e+04,4.410e+01,-4.410e+01,14.21,4.460e+00,-1.490e+00,552.0,,,21.87,20.59,-6.71,561.10,1,q1_q17_dr25_tce,6122.00,181.00,-218.00,4.487,0.052,-0.208,0.9640,0.3030,-0.1010,293.179290,41.969238,15.344
6587280,K00857.01,Kepler-243 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.715425977,7.7790000e-06,-7.7790000e-06,174.8793100,1.100000e-03,-1.100000e-03,0.3480,0.0980,-0.3470,2.52420,0.04180,-0.04180,9.0810e+02,1.740e+01,-1.740e+01,2.47,3.700e-01,-1.700e-01,850.0,,,123.03,60.12,-28.62,59.40,1,q1_q17_dr25_tce,5237.00,157.00,-157.00,4.572,0.028,-0.112,0.8260,0.1240,-0.0570,285.110470,42.033958,15.086
9471974,K00119.01,Kepler-108 B b,CONFIRMED,CANDIDATE,0.9590,0,0,0,0,49.183941850,2.4750000e-05,-2.4750000e-05,141.9119240,5.690000e-04,-5.690000e-04,0.0350,0.3610,-0.0350,11.33640,0.05100,-0.05100,1.6462e+03,5.400e+00,-5.400e+00,8.20,5.000e-01,-5.500e-01,669.0,,,47.40,9.40,-8.38,355.70,1,q1_q17_dr25_tce,5626.00,89.00,-78.00,3.907,0.040,-0.036,2.0570,0.1250,-0.1380,294.559170,46.062328,12.654
6587280,K00857.02,Kepler-243 c,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,20.026141200,1.2720000e-04,-1.2720000e-04,146.9110900,3.960000e-03,-3.960000e-03,0.9570,0.0030,-0.6890,1.61100,0.19500,-0.19500,4.2120e+02,6.070e+01,-6.070e+01,2.28,3.500e-01,-1.600e-01,559.0,,,23.14,11.30,-5.39,10.70,2,q1_q17_dr25_tce,5237.00,157.00,-157.00,4.572,0.028,-0.112,0.8260,0.1240,-0.0570,285.110470,42.033958,15.086
6599919,K00858.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,13.610148190,5.9690000e-06,-5.9690000e-06,173.9873190,3.460000e-04,-3.460000e-04,1.0810,0.3470,-0.1190,2.59400,0.01940,-0.01940,5.7329e+03,3.810e+01,-3.810e+01,19.02,4.920e+00,-2.280e+00,733.0,,,68.29,52.16,-20.86,184.10,1,q1_q17_dr25_tce,5697.00,154.00,-154.00,4.460,0.098,-0.182,0.9030,0.2340,-0.1080,289.897770,42.009151,15.060
6675056,K00859.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,10.443319910,2.2870000e-05,-2.2870000e-05,175.4046000,1.850000e-03,-1.850000e-03,0.2300,0.7990,-0.2300,2.74300,0.50500,-0.50500,1.1598e+03,6.420e+01,-6.420e+01,2.66,2.000e-01,-2.700e-01,667.0,,,46.94,13.93,-12.92,51.70,1,q1_q17_dr25_tce,4947.00,148.00,-133.00,4.516,0.077,-0.056,0.8020,0.0590,-0.0810,286.243560,42.148811,15.546
6685526,K00861.01,Kepler-707 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.237489571,5.0220000e-06,-5.0220000e-06,170.8191400,1.730000e-03,-1.730000e-03,0.1280,0.3250,-0.1270,1.81190,0.05540,-0.05540,3.1580e+02,1.180e+01,-1.180e+01,1.41,1.300e-01,-5.000e-02,1160.0,,,427.17,109.22,-54.78,30.70,1,q1_q17_dr25_tce,5265.00,73.00,-84.00,4.580,0.014,-0.081,0.8100,0.0730,-0.0290,290.007570,42.116459,15.001
6756669,K00862.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,5.851520671,3.3100000e-07,-3.3100000e-07,173.8228336,4.480000e-05,-4.480000e-05,0.2110,0.0200,-0.0410,3.11058,0.00627,-0.00627,3.3004e+04,2.610e+01,-2.610e+01,14.62,2.920e+00,-1.580e+00,901.0,,,155.89,96.85,-46.15,1630.40,1,q1_q17_dr25_tce,5532.00,167.00,-167.00,4.530,0.070,-0.130,0.8060,0.1610,-0.0870,284.087310,42.233231,15.330
6784235,K00863.01,Kepler-708 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.167893418,3.8690000e-06,-3.8690000e-06,172.1479590,9.880000e-04,-9.880000e-04,0.0260,0.3660,-0.0260,2.18140,0.03240,-0.03240,7.8120e+02,1.430e+01,-1.430e+01,2.62,7.800e-01,-2.600e-01,1221.0,,,526.23,466.28,-150.76,64.80,1,q1_q17_dr25_tce,5895.00,164.00,-184.00,4.503,0.050,-0.200,0.9400,0.2820,-0.0940,293.816470,42.212502,15.533
6849310,K00864.01,Kepler-244 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.311780262,4.3420000e-06,-4.3420000e-06,173.5764830,8.480000e-04,-8.480000e-04,0.1960,0.2210,-0.1960,2.72510,0.03140,-0.03140,1.1540e+03,1.500e+01,-1.500e+01,3.11,3.900e-01,-2.100e-01,1038.0,,,274.84,91.40,-49.59,86.10,1,q1_q17_dr25_tce,5527.00,74.00,-83.00,4.484,0.040,-0.112,0.9270,0.1150,-0.0620,287.242680,42.301369,15.604
6849310,K00864.02,Kepler-244 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,20.050449400,8.8260000e-05,-8.8260000e-05,188.0882100,3.100000e-03,-3.100000e-03,0.3830,0.0810,-0.3830,4.55600,0.09860,-0.09860,8.4090e+02,2.350e+01,-2.350e+01,2.69,3.300e-01,-1.800e-01,622.0,,,35.44,11.79,-6.39,37.80,2,q1_q17_dr25_tce,5527.00,74.00,-83.00,4.484,0.040,-0.112,0.9270,0.1150,-0.0620,287.242680,42.301369,15.604
6849310,K00864.03,Kepler-244 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.767345030,3.0520000e-05,-3.0520000e-05,186.5771800,2.390000e-03,-2.390000e-03,0.9000,0.0230,-0.6330,1.65850,0.07770,-0.07770,5.6910e+02,3.170e+01,-3.170e+01,2.67,3.300e-01,-1.800e-01,791.0,,,92.46,30.75,-16.68,21.10,3,q1_q17_dr25_tce,5527.00,74.00,-83.00,4.484,0.040,-0.112,0.9270,0.1150,-0.0620,287.242680,42.301369,15.604
